station_id,date,temperature_daily_c,relative_humidity_daily_pct,wind_speed_daily_ms,surface_pressure_daily_hpa,precipitation_daily_m,meteo_available
site_5456,2025-05-28,32.2327819824219,67.97326371036185,3.363179090386044,992.568984375,0.0,True
site_5453,2025-05-29,31.5004821777344,68.75367647043514,3.2440302714751525,991.460625,0.0,True
site_5450,2025-05-29,31.5004821777344,68.75367647043514,3.2440302714751525,991.460625,0.0,True
site_308,2025-05-29,31.5004821777344,68.75367647043514,3.2440302714751525,991.460625,0.0,True
site_5452,2025-05-29,31.5004821777344,68.75367647043514,3.2440302714751525,991.460625,0.0,True
site_5451,2025-05-29,31.5004821777344,68.75367647043514,3.2440302714751525,991.460625,0.0,True
site_5454,2025-05-29,31.583581542968773,68.74447103342165,3.0980498622028336,992.55515625,0.0,True
site_5455,2025-05-29,31.583581542968773,68.74447103342165,3.0980498622028336,992.55515625,0.0,True
site_5449,2025-05-29,31.5004821777344,68.75367647043514,3.2440302714751525,991.460625,0.0,True
site_5456,2025-05-29,31.5004821777344,68.75367647043514,3.2440302714751525,991.460625,0.0,True
site_5453,2025-05-30,32.75057373046877,63.148618257250966,4.553946866991671,992.4896875,0.0,True
site_5450,2025-05-30,32.75057373046877,63.148618257250966,4.553946866991671,992.4896875,0.0,True
site_308,2025-05-30,32.75057373046877,63.148618257250966,4.553946866991671,992.4896875,0.0,True
site_5452,2025-05-30,32.75057373046877,63.148618257250966,4.553946866991671,992.4896875,0.0,True
site_5451,2025-05-30,32.75057373046877,63.148618257250966,4.553946866991671,992.4896875,0.0,True
site_5454,2025-05-30,33.00393066406252,61.45634575178311,4.10662713151996,993.5471875,0.0009536743164062,True
site_5455,2025-05-30,33.00393066406252,61.45634575178311,4.10662713151996,993.5471875,0.0009536743164062,True
site_5449,2025-05-30,32.75057373046877,63.148618257250966,4.553946866991671,992.4896875,0.0,True
site_5456,2025-05-30,32.75057373046877,63.148618257250966,4.553946866991671,992.4896875,0.0,True
site_5453,2025-06-01,32.5610290527344,59.10739075656954,4.937588209350846,995.966171875,0.0,True
site_5450,2025-06-01,32.5610290527344,59.10739075656954,4.937588209350846,995.966171875,0.0,True
site_308,2025-06-01,32.5610290527344,59.10739075656954,4.937588209350846,995.966171875,0.0,True
site_5452,2025-06-01,32.5610290527344,59.10739075656954,4.937588209350846,995.966171875,0.0,True
site_5451,2025-06-01,32.5610290527344,59.10739075656954,4.937588209350846,995.966171875,0.0,True
site_5454,2025-06-01,32.88100585937502,56.84687419186988,4.6347837266229375,996.986171875,0.0009536743164062,True
site_5455,2025-06-01,32.88100585937502,56.84687419186988,4.6347837266229375,996.986171875,0.0009536743164062,True
site_5449,2025-06-01,32.5610290527344,59.10739075656954,4.937588209350846,995.966171875,0.0,True
site_5456,2025-06-01,32.5610290527344,59.10739075656954,4.937588209350846,995.966171875,0.0,True
site_5453,2025-06-02,32.53005371093752,58.24098910612934,4.756918665932175,994.928359375,0.0963211059570312,True
site_5450,2025-06-02,32.53005371093752,58.24098910612934,4.756918665932175,994.928359375,0.0963211059570312,True
site_308,2025-06-02,32.53005371093752,58.24098910612934,4.756918665932175,994.928359375,0.0963211059570312,True
site_5452,2025-06-02,32.53005371093752,58.24098910612934,4.756918665932175,994.928359375,0.0963211059570312,True
site_5451,2025-06-02,32.53005371093752,58.24098910612934,4.756918665932175,994.928359375,0.0963211059570312,True
site_5454,2025-06-02,32.90740356445315,55.94018934086228,4.419716094599069,995.955390625,0.0605583190917968,True
site_5455,2025-06-02,32.90740356445315,55.94018934086228,4.419716094599069,995.955390625,0.0605583190917968,True
site_5449,2025-06-02,32.53005371093752,58.24098910612934,4.756918665932175,994.928359375,0.0963211059570312,True
site_5456,2025-06-02,32.53005371093752,58.24098910612934,4.756918665932175,994.928359375,0.0963211059570312,True
site_5453,2025-06-09,34.24004516601565,53.99372181281104,4.245863924208432,998.522421875,0.0,True
site_5450,2025-06-09,34.24004516601565,53.99372181281104,4.245863924208432,998.522421875,0.0,True
site_308,2025-06-09,34.24004516601565,53.99372181281104,4.245863924208432,998.522421875,0.0,True
site_5452,2025-06-09,34.24004516601565,53.99372181281104,4.245863924208432,998.522421875,0.0,True
site_5451,2025-06-09,34.24004516601565,53.99372181281104,4.245863924208432,998.522421875,0.0,True
site_5454,2025-06-09,34.11367187500002,54.80808065009376,4.3823971769949805,999.816953125,0.0,True
